id,title,score,popularity,members,favorites,demographics_id,demographics,genresId,genreName,duration,studioId,studioName,rank,rating,source,status,season,scoredBy,producerId,producerName,producerType,episodes,airing,broadcastDay,broadcastTime,broadcastTimezone,airedFrom,airedTo,type
31964,"{'type': 'Default', 'title': 'Boku no Hero Academia'}",7.91,6,2744013,52376,[27],['Shounen'],[1],['Action'],24 min per ep,[4],['Bones'],697,PG-13 - Teens 13 or older,Manga,Finished Airing,spring,1894287,"[53, 143, 166, 1143, 1365]","['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'TOHO animation', 'Shueisha']","['anime', 'anime', 'anime', 'anime', 'anime']",13,False,Sundays,17:00,Asia/Tokyo,2016-04-03T00:00:00+00:00,2016-06-26T00:00:00+00:00,TV
14345,"{'type': 'Default', 'title': 'Btooom!'}",7.3,184,808117,3301,[42],['Seinen'],"[1, 24]","['Action', 'Sci-Fi']",24 min per ep,[11],['Madhouse'],2483,R - 17+ (violence & profanity),Manga,Finished Airing,fall,468052,"[64, 460, 464, 777]","['Sotsu', 'KlockWorx', 'flying DOG', 'Showgate']","['anime', 'anime', 'anime', 'anime']",12,False,Thursdays,23:00,Asia/Tokyo,2012-10-04T00:00:00+00:00,2012-12-20T00:00:00+00:00,TV
31478,"{'type': 'Default', 'title': 'Bungou Stray Dogs'}",7.82,92,1205287,23342,[42],['Seinen'],"[1, 7, 37]","['Action', 'Mystery', 'Supernatural']",23 min per ep,[4],['Bones'],865,R - 17+ (violence & profanity),Manga,Finished Airing,spring,613969,"[104, 166, 460, 687, 1255, 1309, 1516]","['Lantis', 'Movic', 'KlockWorx', 'Bandai Namco Live Creative', 'Glovision', 'Lawson HMV Entertainment', 'Sony PCL']","['anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime']",12,False,Thursdays,01:05,Asia/Tokyo,2016-04-07T00:00:00+00:00,2016-06-23T00:00:00+00:00,TV
12293,"{'type': 'Default', 'title': 'Campione! Matsurowanu Kamigami to Kamigoroshi no Maou'}",6.95,540,366133,1251,[],[],"[4, 10, 22, 9]","['Comedy', 'Fantasy', 'Romance', 'Ecchi']",24 min per ep,[51],['Diomedéa'],4183,PG-13 - Teens 13 or older,Light novel,Finished Airing,summer,202265,"[104, 238, 271, 306, 415, 460, 1365, 1579]","['Lantis', 'AT-X', 'Barnum Studio', 'Magic Capsule', 'Warner Bros. Japan', 'KlockWorx', 'Shueisha', 'Bulls Eye']","['anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime']",13,False,,,,2012-07-06T00:00:00+00:00,2012-09-28T00:00:00+00:00,TV
28999,"{'type': 'Default', 'title': 'Charlotte'}",7.75,65,1463919,21395,[],[],[8],['Drama'],24 min per ep,[132],['P.A. Works'],998,PG-13 - Teens 13 or older,Original,Finished Airing,summer,901784,"[17, 143, 166, 203, 681, 1211, 1416]","['Aniplex', 'Mainichi Broadcasting System', 'Movic', 'Visual Arts', 'ASCII Media Works', 'Tokyo MX', 'BS11']","['anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime']",13,False,Sundays,00:00,Asia/Tokyo,2015-07-05T00:00:00+00:00,2015-09-27T00:00:00+00:00,TV
4975,"{'type': 'Default', 'title': 'ChäoS;HEAd'}",6.31,751,277938,723,[],[],"[7, 24, 37]","['Mystery', 'Sci-Fi', 'Supernatural']",27 min per ep,[11],['Madhouse'],7549,R - 17+ (violence & profanity),Visual novel,Finished Airing,fall,149520,"[29, 76, 158]","['VAP', 'Yomiuri Telecasting', 'Kids Station']","['anime', 'anime', 'anime']",12,False,,,,2008-10-09T00:00:00+00:00,2008-12-25T00:00:00+00:00,TV
14741,"{'type': 'Default', 'title': 'Chuunibyou demo Koi ga Shitai!'}",7.72,88,1254373,17072,[],[],"[4, 22]","['Comedy', 'Romance']",24 min per ep,[2],['Kyoto Animation'],1067,PG-13 - Teens 13 or older,Light novel,Finished Airing,fall,727819,"[104, 144, 145, 211, 929]","['Lantis', 'Pony Canyon', 'TBS', 'Rakuonsha', 'Animation Do']","['anime', 'anime', 'anime', 'anime', 'anime']",12,False,Thursdays,00:30,Asia/Tokyo,2012-10-04T00:00:00+00:00,2012-12-20T00:00:00+00:00,TV
2167,"{'type': 'Default', 'title': 'Clannad'}",8.01,78,1329848,26780,[],[],"[8, 22, 37]","['Drama', 'Romance', 'Supernatural']",24 min per ep,[2],['Kyoto Animation'],564,PG-13 - Teens 13 or older,Visual novel,Finished Airing,fall,719165,"[144, 145, 166, 929]","['Pony Canyon', 'TBS', 'Movic', 'Animation Do']","['anime', 'anime', 'anime', 'anime']",23,False,Fridays,01:55,Asia/Tokyo,2007-10-05T00:00:00+00:00,2008-03-28T00:00:00+00:00,TV
4181,"{'type': 'Default', 'title': 'Clannad: After Story'}",8.94,107,1111364,67667,[],[],"[8, 22, 37]","['Drama', 'Romance', 'Supernatural']",24 min per ep,[2],['Kyoto Animation'],16,PG-13 - Teens 13 or older,Visual novel,Finished Airing,fall,623144,"[144, 145, 211, 929]","['Pony Canyon', 'TBS', 'Rakuonsha', 'Animation Do']","['anime', 'anime', 'anime', 'anime']",24,False,Fridays,01:59,Asia/Tokyo,2008-10-03T00:00:00+00:00,2009-03-27T00:00:00+00:00,TV
1575,"{'type': 'Default', 'title': 'Code Geass: Hangyaku no Lelouch'}",8.7,19,2063797,102288,[],[],"[1, 8, 24]","['Action', 'Drama', 'Sci-Fi']",24 min per ep,[14],['Sunrise'],50,R - 17+ (violence & profanity),Original,Finished Airing,fall,1296252,"[23, 143, 230, 757, 1233, 1488]","['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Sony Music Entertainment', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']","['anime', 'anime', 'anime', 'anime', 'anime', 'anime']",25,False,Fridays,01:25,Asia/Tokyo,2006-10-06T00:00:00+00:00,2007-07-29T00:00:00+00:00,TV
